matrix,P,A,S,C,L/S,L/A,L/P,A/P,gA,gP,GenSD,VulSD,mJP,mJA,maxJP,maxJA,NODFst,N_LowHigh,#A,#P,meandegA,maxdegA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,9,30,39,0.28889,2,2.6,8.6667,3.3333,0.46258,0.16816,3.777,29.39,0.17044,0.18008,0.33154,0.68849,-0.040121,0,30,9,2.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,9,33,42,0.26263,1.8571,2.3636,8.6667,3.6667,0.46232,0.29786,3.1166,49.026,0.13588,0.21239,0.26954,0.73355,0.19225,1,33,9,2.3636,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,12,31,43,0.22043,1.907,2.6452,6.8333,2.5833,0.45453,0.54638,5.4872,15.646,0.17491,0.1252,0.34376,0.64785,-0.022835,0,31,12,2.6452,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,13,30,43,0.22051,2,2.8667,6.6154,2.3077,0.40933,0.37106,5.8669,20.307,0.16513,0.14129,0.36253,0.57544,0.01796,0,30,13,2.8667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,10,33,43,0.23939,1.8372,2.3939,7.9,3.3,0.44776,0.61626,2.9888,33.816,0.12609,0.18682,0.24868,0.68081,0.14345,1,33,10,2.3939,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,13,30,43,0.19744,1.7907,2.5667,5.9231,2.3077,0.48561,0.2456,4.4037,28.862,0.12309,0.1917,0.31643,0.6463,0.40787,1,30,13,2.5667,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,11,29,40,0.26019,2.075,2.8621,7.5455,2.6364,0.40109,0.17378,5.1155,25.334,0.17286,0.16585,0.34079,0.60714,0.078899,0,29,11,2.8621,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,9,34,43,0.26144,1.8605,2.3529,8.8889,3.7778,0.56502,0.16735,2.9469,33.685,0.14269,0.17954,0.27899,0.71779,0.040465,0,34,9,2.3529,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,10,33,43,0.25758,1.9767,2.5758,8.5,3.3,0.40139,0.11119,2.953,22.399,0.12639,0.15451,0.27665,0.57879,-0.12829,0,33,10,2.5758,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,9,30,39,0.27037,1.8718,2.4333,8.1111,3.3333,0.46099,0.17956,2.9756,40.034,0.13663,0.22107,0.35232,0.72738,0.043977,0,30,9,2.4333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,12,30,42,0.26944,2.3095,3.2333,8.0833,2.5,0.42089,0.41345,6.9339,20.812,0.19638,0.15175,0.33239,0.57478,0.033512,0,30,12,3.2333,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,9,33,42,0.25253,1.7857,2.2727,8.3333,3.6667,0.59614,0.57361,2.9672,24.65,0.13943,0.15375,0.26544,0.72489,0.010648,0,33,9,2.2727,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,10,32,42,0.23438,1.7857,2.3438,7.5,3.2,0.47251,0.46006,2.7674,22.15,0.11841,0.14672,0.25256,0.57708,-0.037268,0,32,10,2.3438,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,13,30,43,0.23846,2.1628,3.1,7.1538,2.3077,0.44169,0.37603,5.6608,19.989,0.14861,0.14415,0.33067,0.57434,0.076317,0,30,13,3.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,13,29,42,0.22812,2.0476,2.9655,6.6154,2.2308,0.37499,0.16549,4.6541,13.913,0.1321,0.13316,0.32872,0.56628,-0.073748,0,29,13,2.9655,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,10,33,43,0.24242,1.8605,2.4242,8,3.3,0.45929,1.3353,2.7124,13.064,0.12439,0.13952,0.28719,0.67677,-0.16432,0,33,10,2.4242,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,10,29,39,0.27931,2.0769,2.7931,8.1,2.9,0.39695,0.43482,3.906,25.457,0.15575,0.17408,0.2839,0.59442,0.003925,0,29,10,2.7931,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,9,29,38,0.27203,1.8684,2.4483,7.8889,3.2222,0.5175,0.16302,4.1686,35.378,0.19221,0.19771,0.37178,0.76839,0.12129,1,29,9,2.4483,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,10,33,43,0.26061,2,2.6061,8.6,3.3,0.47447,0.40981,3.1877,26.022,0.13587,0.16515,0.2646,0.66061,-0.051805,0,33,10,2.6061,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,9,26,35,0.28205,1.8857,2.5385,7.3333,2.8889,0.49089,0.67234,4.6103,14.201,0.21195,0.15078,0.37782,0.6359,-0.026305,0,26,9,2.5385,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,13,31,44,0.21588,1.9773,2.8065,6.6923,2.3846,0.39356,0.3201,5.3455,14.297,0.14822,0.11543,0.31772,0.58218,-0.012242,0,31,13,2.8065,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,13,31,44,0.23325,2.1364,3.0323,7.2308,2.3846,0.35931,0.63308,4.1045,18.234,0.12341,0.141,0.32832,0.55681,-0.11612,0,31,13,3.0323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,11,29,40,0.279,2.225,3.069,8.0909,2.6364,0.32004,1.4488,4.7778,6.7252,0.17358,0.15007,0.33999,0.61429,-0.11191,0,29,11,3.069,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,13,30,43,0.23846,2.1628,3.1,7.1538,2.3077,0.37196,0.30026,5.4823,35.27,0.13885,0.20331,0.33301,0.65876,0.33874,1,30,13,3.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,11,31,42,0.24047,1.9524,2.6452,7.4545,2.8182,0.44912,0.51766,3.5847,16.79,0.13385,0.13815,0.27826,0.53856,-0.042262,0,31,11,2.6452,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
