matrix,P,A,S,C,L/S,L/A,L/P,A/P,gA,gP,GenSD,VulSD,mJP,mJA,maxJP,maxJA,NODFst,N_LowHigh,#A,#P,meandegA,maxdegA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,8,30,38,0.28333,1.7895,2.2667,8.5,3.75,0.60045,0.51954,2.9121,26.493,0.16334,0.18147,0.30765,0.83278,-0.054309,0,30,8,2.2667,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,11,28,39,0.27922,2.2051,3.0714,7.8182,2.5455,0.34206,0.76612,4.5732,24.429,0.159,0.1781,0.28604,0.60685,-0.054602,0,28,11,3.0714,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,13,29,42,0.24138,2.1667,3.1379,7,2.2308,0.37729,0.30015,5.7936,18.074,0.15197,0.1337,0.29912,0.52972,0.026013,0,29,13,3.1379,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,10,32,42,0.26875,2.0476,2.6875,8.6,3.2,0.50146,0.33784,4.1206,21.143,0.164,0.16029,0.31949,0.71235,-0.062148,0,32,10,2.6875,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,10,31,41,0.24194,1.8293,2.4194,7.5,3.1,0.51378,0.48416,4.4512,19.764,0.18076,0.13527,0.30572,0.68981,0.096739,0,31,10,2.4194,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,12,32,44,0.21094,1.8409,2.5313,6.75,2.6667,0.48713,0.33749,4.68,20.58,0.14812,0.13343,0.30915,0.64048,0.13662,1,32,12,2.5313,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,11,27,38,0.26599,2.0789,2.9259,7.1818,2.4545,0.4348,0.28149,5.9592,18.952,0.19655,0.14965,0.33926,0.58605,0.0074213,0,27,11,2.9259,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,12,31,43,0.26075,2.2558,3.129,8.0833,2.5833,0.3151,0.29889,3.8528,31.299,0.12776,0.18317,0.31552,0.59624,-0.014707,0,31,12,3.129,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,12,31,43,0.22849,1.9767,2.7419,7.0833,2.5833,0.47617,0.27924,5.7935,17.985,0.17909,0.12998,0.37258,0.61959,0.039803,0,31,12,2.7419,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,9,31,40,0.24731,1.725,2.2258,7.6667,3.4444,0.55835,0.37862,2.2779,34.923,0.1089,0.19742,0.25717,0.76075,-0.17432,0,31,9,2.2258,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,9,30,39,0.26667,1.8462,2.4,8,3.3333,0.5399,0.61129,3.9158,26.533,0.18819,0.17619,0.3604,0.67593,0.092205,0,30,9,2.4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,9,32,41,0.26736,1.878,2.4063,8.5556,3.5556,0.54512,0.46964,3.1675,27.428,0.15267,0.17511,0.28975,0.69762,-0.10774,0,32,9,2.4063,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,9,32,41,0.25347,1.7805,2.2813,8.1111,3.5556,0.59392,0.40262,3.133,19.213,0.14678,0.14544,0.32793,0.67254,-0.097212,0,32,9,2.2813,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,10,31,41,0.25484,1.9268,2.5484,7.9,3.1,0.37522,0.70089,3.2793,15.996,0.13974,0.15006,0.23931,0.67742,-0.063609,0,31,10,2.5484,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,10,33,43,0.23636,1.814,2.3636,7.8,3.3,0.48375,0.21553,2.6961,20.406,0.11749,0.14407,0.25352,0.64242,-0.10163,0,33,10,2.3636,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,12,31,43,0.23387,2.0233,2.8065,7.25,2.5833,0.4024,0.5681,4.373,15.496,0.13996,0.13022,0.31073,0.57849,-0.039099,0,31,12,2.8065,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,8,32,40,0.25,1.6,2,8,4,0.53777,0.3988,1.9675,23.809,0.11505,0.16274,0.23152,0.77188,-0.11115,0,32,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,10,32,42,0.23438,1.7857,2.3438,7.5,3.2,0.47641,0.75086,2.7026,11.319,0.12259,0.13208,0.27978,0.66562,-0.12564,0,32,10,2.3438,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,13,30,43,0.23846,2.1628,3.1,7.1538,2.3077,0.20982,0.029228,3.5811,22.213,0.10896,0.15314,0.26998,0.565,-0.086077,0,30,13,3.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,11,29,40,0.26019,2.075,2.8621,7.5455,2.6364,0.37606,0.72565,3.9543,10.863,0.14749,0.14045,0.32384,0.52644,-0.085876,0,29,11,2.8621,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,9,33,42,0.23569,1.6667,2.1212,7.7778,3.6667,0.58411,0.28224,2.5298,18.56,0.13256,0.1437,0.30653,0.72121,-0.01649,0,33,9,2.1212,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,9,31,40,0.26523,1.85,2.3871,8.2222,3.4444,0.47016,0.34552,2.3613,19.185,0.13012,0.16608,0.25882,0.73118,-0.21654,0,31,9,2.3871,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,11,31,42,0.2522,2.0476,2.7742,7.8182,2.8182,0.29465,0.30827,3.4878,18.77,0.13501,0.15165,0.25891,0.61598,-0.1321,0,31,11,2.7742,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,9,30,39,0.27407,1.8974,2.4667,8.2222,3.3333,0.42536,0.31514,2.8776,16.839,0.14312,0.16118,0.25674,0.64444,-0.13099,0,30,9,2.4667,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,9,31,40,0.26882,1.875,2.4194,8.3333,3.4444,0.44597,0.72118,2.7778,20.412,0.13821,0.16271,0.27385,0.67688,-0.05771,0,31,9,2.4194,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,10,33,43,0.24848,1.907,2.4848,8.2,3.3,0.42158,0.16615,2.7866,26.444,0.1182,0.16164,0.2635,0.72828,-0.056178,0,33,10,2.4848,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,13,29,42,0.23873,2.1429,3.1034,6.9231,2.2308,0.2999,0.15973,4.7896,15.853,0.13014,0.13218,0.27204,0.50115,-0.02697,0,29,13,3.1034,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,11,31,42,0.2522,2.0476,2.7742,7.8182,2.8182,0.42078,0.24562,3.2597,27.712,0.12863,0.17687,0.3207,0.702,-0.10531,0,31,11,2.7742,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,8,30,38,0.2875,1.8158,2.3,8.625,3.75,0.34344,0.60236,2.5014,31.585,0.14437,0.20038,0.31497,0.71111,0.027686,0,30,8,2.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,9,33,42,0.24579,1.7381,2.2121,8.1111,3.6667,0.5338,0.53893,2.6956,25.792,0.12847,0.1584,0.23988,0.70808,-0.038896,0,33,9,2.2121,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,10,30,40,0.24667,1.85,2.4667,7.4,3,0.26687,0.48114,2.6498,18.193,0.11811,0.15004,0.23754,0.69,-0.10381,0,30,10,2.4667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,9,31,40,0.25806,1.8,2.3226,8,3.4444,0.33914,0.69578,2.4276,22.271,0.12322,0.16492,0.24125,0.70753,-0.11863,0,31,9,2.3226,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,11,31,42,0.2522,2.0476,2.7742,7.8182,2.8182,0.40998,0.67221,3.7019,16.702,0.13715,0.14383,0.2628,0.55837,-0.073296,0,31,11,2.7742,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,8,31,39,0.2621,1.6667,2.0968,8.125,3.875,0.25117,0.39671,1.5649,22.749,0.1053,0.17455,0.23412,0.75806,-0.24682,0,31,8,2.0968,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,10,32,42,0.2375,1.8095,2.375,7.6,3.2,0.3245,1.5057,2.3168,10.867,0.11492,0.14093,0.25462,0.68021,-0.24484,0,32,10,2.375,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,12,29,41,0.26724,2.2683,3.2069,7.75,2.4167,0.27793,1.6345,4.6456,12.42,0.15401,0.1479,0.31775,0.53662,-0.078024,0,29,12,3.2069,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,13,29,42,0.25199,2.2619,3.2759,7.3077,2.2308,0.25474,0.37311,5.0215,24.49,0.13791,0.16057,0.32562,0.59483,-0.019099,0,29,13,3.2759,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,11,32,43,0.24432,2,2.6875,7.8182,2.9091,0.42932,0.66143,3.8878,8.4336,0.14878,0.13083,0.32249,0.56027,-0.099713,0,32,11,2.6875,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,11,31,42,0.24633,2,2.7097,7.6364,2.8182,0.33049,0.13355,3.144,19.401,0.11992,0.14794,0.26115,0.63656,-0.11128,0,31,11,2.7097,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,10,31,41,0.25806,1.9512,2.5806,8,3.1,0.37021,0.18948,3.2489,20.997,0.13475,0.15495,0.26941,0.63011,-0.14978,0,31,10,2.5806,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,9,32,41,0.26736,1.878,2.4063,8.5556,3.5556,0.42611,0.24197,3.2834,29.672,0.15313,0.17687,0.2836,0.76146,0.045732,0,32,9,2.4063,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,13,30,43,0.23333,2.1163,3.0333,7,2.3077,0.33446,1.0957,4.5401,11.783,0.13327,0.12411,0.3018,0.47623,-0.11961,0,30,13,3.0333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,11,31,42,0.24927,2.0238,2.7419,7.7273,2.8182,0.31274,1.4208,3.3929,9.2022,0.13286,0.13418,0.2794,0.55484,-0.12796,0,31,11,2.7419,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,9,30,39,0.27037,1.8718,2.4333,8.1111,3.3333,0.44364,0.30064,2.6872,19.637,0.13853,0.17259,0.29066,0.73111,-0.11901,0,30,9,2.4333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,9,33,42,0.23906,1.6905,2.1515,7.8889,3.6667,0.58898,0.26662,2.472,23.15,0.12345,0.15634,0.26148,0.7619,-0.09688,0,33,9,2.1515,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,10,32,42,0.25938,1.9762,2.5938,8.3,3.2,0.47036,0.4753,3.3502,15.179,0.14511,0.1489,0.31136,0.65312,-0.19847,0,32,10,2.5938,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,9,31,40,0.24731,1.725,2.2258,7.6667,3.4444,0.39348,0.86928,2.2779,18.384,0.12295,0.15367,0.27639,0.71559,-0.11465,0,31,9,2.2258,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,11,31,42,0.24047,1.9524,2.6452,7.4545,2.8182,0.43735,0.38319,4.0721,17.755,0.14216,0.13435,0.31048,0.5702,-0.0025378,0,31,11,2.6452,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,11,31,42,0.2522,2.0476,2.7742,7.8182,2.8182,0.39664,0.14486,4.22,24.925,0.14207,0.15563,0.28216,0.64178,0.064758,0,31,11,2.7742,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,12,30,42,0.22778,1.9524,2.7333,6.8333,2.5,0.41667,0.2302,3.8611,22.349,0.12138,0.14944,0.27505,0.61389,0.098082,0,30,12,2.7333,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,11,30,41,0.25455,2.0488,2.8,7.6364,2.7273,0.29019,0.61717,3.4016,12.442,0.13448,0.14475,0.2738,0.66667,-0.23676,0,30,11,2.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,9,29,38,0.26054,1.7895,2.3448,7.5556,3.2222,0.48144,0.20777,2.6048,24.805,0.12786,0.17796,0.21301,0.67356,-0.0021456,0,29,9,2.3448,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,13,28,41,0.25,2.2195,3.25,7,2.1538,0.34228,0.85105,5.4973,9.478,0.15635,0.13263,0.35292,0.5301,-0.092288,0,28,13,3.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,12,28,40,0.25893,2.175,3.1071,7.25,2.3333,0.29168,0.21062,4.9555,19.582,0.14864,0.15313,0.29961,0.51645,-0.0059684,0,28,12,3.1071,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,13,28,41,0.25824,2.2927,3.3571,7.2308,2.1538,0.24816,0.36997,4.6781,18.937,0.13834,0.15906,0.32561,0.55646,-0.051919,0,28,13,3.3571,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,9,29,38,0.28352,1.9474,2.5517,8.2222,3.2222,0.39165,0.34552,2.8599,19.185,0.14965,0.17523,0.2804,0.68736,-0.044825,0,29,9,2.5517,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,10,32,42,0.24063,1.8333,2.4063,7.7,3.2,0.30481,0.51684,2.434,13.113,0.11745,0.14309,0.29179,0.67604,-0.23566,0,32,10,2.4063,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,10,32,42,0.24063,1.8333,2.4063,7.7,3.2,0.4403,0.36682,3.0473,23.538,0.12577,0.15178,0.25699,0.63542,0.047658,0,32,10,2.4063,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,8,32,40,0.25781,1.65,2.0625,8.25,4,0.63151,0.88544,2.0914,15.116,0.12914,0.15564,0.29302,0.75833,-0.12218,0,32,8,2.0625,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,11,31,42,0.2434,1.9762,2.6774,7.5455,2.8182,0.33391,0.35718,3.3432,16.656,0.12844,0.14719,0.27206,0.62296,-0.12339,0,31,11,2.6774,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,13,30,43,0.24103,2.186,3.1333,7.2308,2.3077,0.16832,0.37094,4.4108,16.997,0.12985,0.13999,0.28385,0.54103,-0.05238,0,30,13,3.1333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,8,29,37,0.27155,1.7027,2.1724,7.875,3.625,0.56972,0.23237,2.3274,16.539,0.14292,0.17566,0.32321,0.78678,-0.13607,0,29,8,2.1724,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,11,32,43,0.25284,2.0698,2.7813,8.0909,2.9091,0.40708,0.62255,3.6527,16.365,0.1364,0.1412,0.28726,0.55729,-0.10395,0,32,11,2.7813,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,9,30,39,0.28148,1.9487,2.5333,8.4444,3.3333,0.39411,0.38992,2.9553,26.405,0.14287,0.17599,0.25293,0.65278,-0.059784,0,30,9,2.5333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,12,30,42,0.25278,2.1667,3.0333,7.5833,2.5,0.33122,0.45463,4.0994,15.324,0.13951,0.14549,0.29498,0.55556,-0.057042,0,30,12,3.0333,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,13,29,42,0.24668,2.2143,3.2069,7.1538,2.2308,0.28425,0.45556,4.402,19.558,0.12975,0.15092,0.33759,0.53198,-0.058331,0,29,13,3.2069,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,13,29,42,0.24668,2.2143,3.2069,7.1538,2.2308,0.27234,0.38425,4.877,17.24,0.13825,0.14237,0.30879,0.49622,-0.015494,0,29,13,3.2069,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,11,31,42,0.261,2.119,2.871,8.0909,2.8182,0.38382,0.33126,3.6872,25.702,0.13404,0.16464,0.27694,0.59785,-0.028487,0,31,11,2.871,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,10,31,41,0.25484,1.9268,2.5484,7.9,3.1,0.49731,0.28722,3.0037,20.55,0.13068,0.15605,0.26249,0.60323,-0.12266,0,31,10,2.5484,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,9,32,41,0.25694,1.8049,2.3125,8.2222,3.5556,0.4838,0.1202,2.9037,16.839,0.14202,0.14773,0.26232,0.68437,-0.086968,0,32,9,2.3125,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,8,30,38,0.2625,1.6579,2.1,7.875,3.75,0.46217,0.18533,2.2299,23.223,0.13277,0.17319,0.27326,0.79222,-0.077039,0,30,8,2.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,12,27,39,0.26852,2.2308,3.2222,7.25,2.25,0.29935,0.46015,5.6049,16.684,0.16852,0.15334,0.36291,0.55059,0.026953,0,27,12,3.2222,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,9,31,40,0.25448,1.775,2.2903,7.8889,3.4444,0.5144,0.72402,2.9087,20.284,0.14312,0.1541,0.22805,0.6298,-0.088815,0,31,9,2.2903,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,9,32,41,0.25347,1.7805,2.2813,8.1111,3.5556,0.51426,0.96462,2.5412,12.463,0.13567,0.15108,0.25426,0.69323,-0.16305,0,32,9,2.2813,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,10,30,40,0.26667,2,2.6667,8,3,0.33599,0.44331,3.3828,17.689,0.14441,0.15522,0.28189,0.59111,-0.084283,0,30,10,2.6667,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,13,28,41,0.26099,2.3171,3.3929,7.3077,2.1538,0.2444,0.84782,4.2657,13.796,0.13957,0.15072,0.34124,0.53418,-0.18635,0,28,13,3.3929,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,9,29,38,0.27586,1.8947,2.4828,8,3.2222,0.51822,0.29971,3.3587,20.785,0.15805,0.16986,0.30902,0.66552,-0.06715,0,29,9,2.4828,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,11,32,43,0.2358,1.9302,2.5938,7.5455,2.9091,0.37275,0.17138,3.4773,16.994,0.12714,0.13443,0.26025,0.66741,-0.11099,0,32,11,2.5938,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,10,30,40,0.26333,1.975,2.6333,7.9,3,0.46794,0.26521,3.1298,19.512,0.13734,0.16494,0.31764,0.63206,-0.13703,0,30,10,2.6333,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,13,28,41,0.25,2.2195,3.25,7,2.1538,0.33474,0.23287,5.8423,17.616,0.15077,0.14081,0.33454,0.57364,0.019113,0,28,13,3.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,11,31,42,0.22874,1.8571,2.5161,7.0909,2.8182,0.41783,0.86444,3.0382,12.056,0.11992,0.13149,0.22351,0.6149,-0.11328,0,31,11,2.5161,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,13,29,42,0.24668,2.2143,3.2069,7.1538,2.2308,0.35819,0.35877,5.2401,18.893,0.14003,0.14165,0.29786,0.50969,-0.029181,0,29,13,3.2069,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,13,29,42,0.24403,2.1905,3.1724,7.0769,2.2308,0.93495,0.41122,4.1596,16.96,0.12713,0.14832,0.32991,0.55,-0.17227,0,29,13,3.1724,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,12,27,39,0.26543,2.2051,3.1852,7.1667,2.25,0.36965,1.025,4.7604,16.409,0.14778,0.15184,0.30342,0.53545,-0.10552,0,27,12,3.1852,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,13,29,42,0.23077,2.0714,3,6.6923,2.2308,0.33768,0.37611,4.1662,16.021,0.11993,0.13382,0.28523,0.52906,-0.17029,0,29,13,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,9,32,41,0.25,1.7561,2.25,8,3.5556,0.52378,0.55099,2.7998,12,0.1417,0.14324,0.27463,0.65625,-0.11127,0,32,9,2.25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,9,33,42,0.25926,1.8333,2.3333,8.5556,3.6667,0.48301,0.4594,2.6519,21.859,0.13432,0.15739,0.31032,0.67222,-0.044763,0,33,9,2.3333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,9,28,37,0.28175,1.9189,2.5357,7.8889,3.1111,0.383,0.76625,3.2723,17.393,0.15537,0.16047,0.29456,0.61071,-0.056878,0,28,9,2.5357,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,13,28,41,0.24451,2.1707,3.1786,6.8462,2.1538,0.29432,0.3972,4.0626,18.924,0.1246,0.1538,0.27946,0.5119,-0.10696,0,28,13,3.1786,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,10,33,43,0.25455,1.9535,2.5455,8.4,3.3,0.49512,0.12708,3.1234,25.417,0.13532,0.16041,0.29816,0.64444,-0.07285,0,33,10,2.5455,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,10,30,40,0.26333,1.975,2.6333,7.9,3,0.46849,0.68225,3.4218,15.104,0.149,0.15323,0.31918,0.57103,-0.096672,0,30,10,2.6333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,13,29,42,0.25464,2.2857,3.3103,7.3846,2.2308,0.33584,0.18279,5.2418,18.957,0.1412,0.14882,0.29498,0.57308,-0.054672,0,29,13,3.3103,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
